Symbol,Description,Peak -logP,Effect Size,Peak Location,Location
Nox4,NADPH oxidase 4,6.2,-0.331,Chr4: 177.956565,Chr1: 140.900885
Ocstamp,osteoclast stimulatory transmembrane protein,6.2,-0.336,Chr4: 177.055251,Chr3: 154.141610
Dhcr7,7-dehydrocholesterol reductase,6.1,-0.313,Chr4: 177.956565,Chr1: 199.015080
Tex36,testis expressed 36,6.1,-0.314,Chr4: 179.868683,Chr1: 188.404447
Incenp,inner centromere protein,6.0,-0.272,Chr4: 178.959372,Chr1: 206.550574
Mab21l3,mab-21 like 3,6.0,-0.262,Chr4: 177.956565,Chr2: 189.271651
Tmem86a,transmembrane protein 86A,5.9,-0.276,Chr4: 177.959120,Chr1: 97.595909
Usp39,ubiquitin specific peptidase 39,5.9,-0.172,Chr4: 178.959372,Chr4: 104.403189
Abcg5,ATP binding cassette subfamily G member 5,5.9,-0.294,Chr4: 177.055251,Chr6: 9.965117
Cryl1,"crystallin, lambda 1",5.9,-0.26,Chr4: 180.368710,Chr15: 31.545996
Ccdc162,coiled-coil domain containing 162,5.9,-0.287,Chr4: 178.959372,Chr20: 45.237904
Panx2,pannexin 2,5.8,-0.28,Chr4: 177.956565,Chr7: 120.139258
Rab11fip5,RAB11 family interacting protein 5,5.8,-0.193,Chr4: 177.956565,Chr4: 117.908818
Bhlha15,"basic helix-loop-helix family, member a15",5.8,-0.334,Chr4: 179.293812,Chr12: 10.424640
Pkd1l2,polycystin 1 like 2,5.7,-0.324,Chr4: 178.959372,Chr19: 45.136502
Lrrc28,leucine rich repeat containing 28,5.7,-0.129,Chr4: 177.959120,Chr1: 121.245804
Abcb9,ATP binding cassette subfamily B member 9,5.7,0.388,Chr4: 177.346873,Chr12: 32.499212
Sectm1b,secreted and transmembrane 1B,5.6,-0.254,Chr4: 178.959372,Chr10: 106.333778
Mme,membrane metallo-endopeptidase,5.6,-0.385,Chr4: 179.794176,Chr2: 147.686912
Tmbim1,transmembrane BAX inhibitor motif containing 1,5.6,-0.215,Chr4: 177.956565,Chr9: 75.888623
Slc22a6,solute carrier family 22 member 6,5.5,-0.371,Chr4: 179.293812,Chr1: 205.522578
Slc39a4,solute carrier family 39 member 4,5.5,-0.212,Chr4: 178.959372,Chr7: 108.337552
Extl1,exostosin-like glycosyltransferase 1,5.5,-0.213,Chr4: 177.055251,Chr5: 146.589114
Cyp2b3,"cytochrome P450, family 2, subfamily b, polypeptide 3",5.5,-0.14,Chr4: 177.959120,Chr1: 81.652761
